millis,rpm
6063,230
7064,2242
8065,1770
9066,1829
10067,1711
11068,1652
12069,1829
13070,1888
14071,1888
15072,1593
16073,1829
17074,1829
18075,1770
19076,1770
20077,1711
21078,1770
22079,1534
23080,1829
24081,1593
25082,1357
26083,1475
27084,1593
28085,1888
29086,1416
30087,1593
31088,1416
32089,1711
33090,1475
34091,1416
35092,1475
36093,1357
37094,1534
38095,1475
39096,1652
40097,1593
41098,1416
42099,1416
43100,1475
44101,1534
45102,1475
46103,1357
47104,1888
48105,1475
49106,1534
50107,1593
51108,1711
52109,1534
53110,1711
54111,1357
55112,1593
56113,1416
57114,1475
58115,1593
59116,1534
60117,1652
61118,1534
62119,1652
63120,1416
64121,1416
65122,1416
66123,1475
67124,1475
68125,1593
69126,1593
70127,1652
71128,1770
72129,1534
73130,1475
74131,1475
75132,1534
76133,1416
77134,1593
78135,1652
79136,1416
80137,1711
81138,1593
82139,1357
83140,1534
84141,1888
85142,1534
86143,1593
87144,1534
88145,1534
89146,1534
90147,1534
91148,1652
92149,1593
93150,1652
94151,1416
95152,1416
96153,1888
97154,1593
98155,1652
99156,1593
100157,1416
101158,1298
102159,1416
